#  4  452
#   Weighted smoothing spline fit
# Ice core and Mauna Loa CO2                                       
# 50% attenuation at     23.4968    ; REG =     100.000 
#     Time     Smoothed data     Deriv
 1765.0  277.9514   0.02688
 1765.5  277.9652   0.02828
 1766.0  277.9797   0.02969
 1766.5  277.9949   0.03111
 1767.0  278.0108   0.03253
 1767.5  278.0275   0.03395
 1768.0  278.0448   0.03539
 1768.5  278.0628   0.03682
 1769.0  278.0816   0.03827
 1769.5  278.1011   0.03972
 1770.0  278.1213   0.04118
 1770.5  278.1423   0.04264
 1771.0  278.1640   0.04411
 1771.5  278.1864   0.04559
 1772.0  278.2096   0.04707
 1772.5  278.2335   0.04855
 1773.0  278.2581   0.05005
 1773.5  278.2835   0.05155
 1774.0  278.3097   0.05305
 1774.5  278.3366   0.05457
 1775.0  278.3642   0.05608
 1775.5  278.3927   0.05761
 1776.0  278.4218   0.05914
 1776.5  278.4518   0.06067
 1777.0  278.4825   0.06222
 1777.5  278.5140   0.06376
 1778.0  278.5463   0.06532
 1778.5  278.5793   0.06688
 1779.0  278.6132   0.06845
 1779.5  278.6478   0.07002
 1780.0  278.6832   0.07160
 1780.5  278.7194   0.07318
 1781.0  278.7564   0.07477
 1781.5  278.7942   0.07637
 1782.0  278.8327   0.07797
 1782.5  278.8721   0.07958
 1783.0  278.9123   0.08120
 1783.5  278.9533   0.08282
 1784.0  278.9951   0.08445
 1784.5  279.0378   0.08608
 1785.0  279.0812   0.08772
 1785.5  279.1255   0.08937
 1786.0  279.1706   0.09102
 1786.5  279.2165   0.09268
 1787.0  279.2633   0.09434
 1787.5  279.3109   0.09601
 1788.0  279.3593   0.09769
 1788.5  279.4085   0.09937
 1789.0  279.4586   0.10106
 1789.5  279.5096   0.10275
 1790.0  279.5614   0.10445
 1790.5  279.6140   0.10616
 1791.0  279.6676   0.10787
 1791.5  279.7219   0.10959
 1792.0  279.7772   0.11131
 1792.5  279.8332   0.11303
 1793.0  279.8902   0.11475
 1793.5  279.9480   0.11647
 1794.0  280.0067   0.11820
 1794.5  280.0662   0.11992
 1795.0  280.1266   0.12164
 1795.5  280.1878   0.12336
 1796.0  280.2499   0.12508
 1796.5  280.3129   0.12681
 1797.0  280.3767   0.12853
 1797.5  280.4414   0.13020
 1798.0  280.5069   0.13176
 1798.5  280.5732   0.13322
 1799.0  280.6401   0.13458
 1799.5  280.7077   0.13583
 1800.0  280.7759   0.13697
 1800.5  280.8447   0.13802
 1801.0  280.9139   0.13895
 1801.5  280.9836   0.13979
 1802.0  281.0537   0.14051
 1802.5  281.1241   0.14114
 1803.0  281.1948   0.14166
 1803.5  281.2657   0.14207
 1804.0  281.3369   0.14238
 1804.5  281.4081   0.14258
 1805.0  281.4794   0.14268
 1805.5  281.5508   0.14268
 1806.0  281.6221   0.14257
 1806.5  281.6933   0.14235
 1807.0  281.7644   0.14204
 1807.5  281.8354   0.14161
 1808.0  281.9060   0.14108
 1808.5  281.9764   0.14045
 1809.0  282.0465   0.13971
 1809.5  282.1161   0.13887
 1810.0  282.1853   0.13793
 1810.5  282.2540   0.13687
 1811.0  282.3222   0.13572
 1811.5  282.3897   0.13446
 1812.0  282.4566   0.13309
 1812.5  282.5228   0.13162
 1813.0  282.5882   0.13005
 1813.5  282.6528   0.12837
 1814.0  282.7166   0.12659
 1814.5  282.7794   0.12470
 1815.0  282.8412   0.12271
 1815.5  282.9021   0.12061
 1816.0  282.9619   0.11841
 1816.5  283.0205   0.11610
 1817.0  283.0779   0.11380
 1817.5  283.1343   0.11160
 1818.0  283.1896   0.10952
 1818.5  283.2438   0.10756
 1819.0  283.2971   0.10570
 1819.5  283.3495   0.10396
 1820.0  283.4011   0.10233
 1820.5  283.4519   0.10081
 1821.0  283.5020   0.09940
 1821.5  283.5513   0.09810
 1822.0  283.6001   0.09692
 1822.5  283.6483   0.09584
 1823.0  283.6959   0.09488
 1823.5  283.7432   0.09404
 1824.0  283.7900   0.09330
 1824.5  283.8365   0.09267
 1825.0  283.8827   0.09216
 1825.5  283.9286   0.09176
 1826.0  283.9745   0.09148
 1826.5  284.0201   0.09133
 1827.0  284.0658   0.09132
 1827.5  284.1115   0.09143
 1828.0  284.1573   0.09168
 1828.5  284.2032   0.09206
 1829.0  284.2494   0.09257
 1829.5  284.2958   0.09321
 1830.0  284.3426   0.09399
 1830.5  284.3898   0.09489
 1831.0  284.4375   0.09593
 1831.5  284.4857   0.09710
 1832.0  284.5346   0.09840
 1832.5  284.5842   0.09984
 1833.0  284.6345   0.10140
 1833.5  284.6856   0.10310
 1834.0  284.7376   0.10493
 1834.5  284.7906   0.10689
 1835.0  284.8445   0.10898
 1835.5  284.8995   0.11120
 1836.0  284.9557   0.11356
 1836.5  285.0131   0.11604
 1837.0  285.0718   0.11866
 1837.5  285.1318   0.12141
 1838.0  285.1932   0.12429
 1838.5  285.2561   0.12731
 1839.0  285.3206   0.13045
 1839.5  285.3866   0.13373
 1840.0  285.4543   0.13682
 1840.5  285.5233   0.13941
 1841.0  285.5936   0.14149
 1841.5  285.6647   0.14307
 1842.0  285.7366   0.14415
 1842.5  285.8088   0.14472
 1843.0  285.8812   0.14480
 1843.5  285.9535   0.14436
 1844.0  286.0255   0.14362
 1844.5  286.0971   0.14278
 1845.0  286.1683   0.14185
 1845.5  286.2390   0.14080
 1846.0  286.3091   0.13966
 1846.5  286.3786   0.13842
 1847.0  286.4475   0.13707
 1847.5  286.5157   0.13563
 1848.0  286.5831   0.13412
 1848.5  286.6498   0.13259
 1849.0  286.7157   0.13103
 1849.5  286.7808   0.12946
 1850.0  286.8451   0.12786
 1850.5  286.9087   0.12623
 1851.0  286.9714   0.12459
 1851.5  287.0332   0.12292
 1852.0  287.0943   0.12123
 1852.5  287.1544   0.11952
 1853.0  287.2138   0.11778
 1853.5  287.2722   0.11602
 1854.0  287.3298   0.11424
 1854.5  287.3865   0.11243
 1855.0  287.4423   0.11072
 1855.5  287.4972   0.10921
 1856.0  287.5515   0.10790
 1856.5  287.6052   0.10680
 1857.0  287.6583   0.10590
 1857.5  287.7111   0.10520
 1858.0  287.7635   0.10471
 1858.5  287.8158   0.10442
 1859.0  287.8680   0.10433
 1859.5  287.9202   0.10444
 1860.0  287.9725   0.10476
 1860.5  288.0250   0.10529
 1861.0  288.0778   0.10601
 1861.5  288.1310   0.10694
 1862.0  288.1848   0.10808
 1862.5  288.2392   0.10941
 1863.0  288.2942   0.11095
 1863.5  288.3501   0.11269
 1864.0  288.4070   0.11464
 1864.5  288.4648   0.11679
 1865.0  288.5238   0.11914
 1865.5  288.5840   0.12170
 1866.0  288.6455   0.12438
 1866.5  288.7084   0.12710
 1867.0  288.7726   0.12986
 1867.5  288.8382   0.13266
 1868.0  288.9053   0.13550
 1868.5  288.9737   0.13838
 1869.0  289.0437   0.14131
 1869.5  289.1151   0.14427
 1870.0  289.1880   0.14731
 1870.5  289.2624   0.15043
 1871.0  289.3384   0.15365
 1871.5  289.4160   0.15696
 1872.0  289.4954   0.16036
 1872.5  289.5764   0.16386
 1873.0  289.6592   0.16745
 1873.5  289.7439   0.17113
 1874.0  289.8304   0.17490
 1874.5  289.9188   0.17876
 1875.0  290.0092   0.18266
 1875.5  290.1014   0.18654
 1876.0  290.1957   0.19039
 1876.5  290.2918   0.19422
 1877.0  290.3899   0.19802
 1877.5  290.4898   0.20180
 1878.0  290.5917   0.20556
 1878.5  290.6954   0.20929
 1879.0  290.8010   0.21294
