#4  621
#Prescribed CO2 concentrations 1990.5 to 2300
#For stabilisation cases. Mathced to mid 1990 trend of 1.7
#................
#t             S350     S450     S550     S650     S750     DS450     DS550   
 1990.50   354.170   354.170   354.170   354.170   354.170   354.170   354.170
 1991.00   355.016   355.019   355.020   355.021   355.023   355.020   355.021
 1991.50   355.854   355.864   355.869   355.874   355.881   355.869   355.874
 1992.00   356.684   356.707   356.717   356.730   356.744   356.717   356.730
 1992.50   357.507   357.546   357.565   357.587   357.612   357.565   357.587
 1993.00   358.321   358.383   358.413   358.447   358.486   358.413   358.447
 1993.50   359.127   359.216   359.260   359.309   359.365   359.260   359.309
 1994.00   359.925   360.047   360.106   360.173   360.250   360.106   360.173
 1994.50   360.715   360.874   360.951   361.040   361.139   360.951   361.040
 1995.00   361.497   361.699   361.796   361.908   362.034   361.796   361.908
 1995.50   362.270   362.520   362.641   362.779   362.934   362.641   362.779
 1996.00   363.035   363.338   363.484   363.651   363.840   363.484   363.651
 1996.50   363.792   364.153   364.328   364.526   364.750   364.328   364.526
 1997.00   364.541   364.965   365.170   365.403   365.666   365.170   365.403
 1997.50   365.281   365.774   366.012   366.282   366.587   366.012   366.282
 1998.00   366.013   366.579   366.853   367.163   367.513   366.853   367.163
 1998.50   366.737   367.382   367.694   368.046   368.444   367.694   368.046
 1999.00   367.452   368.181   368.534   368.931   369.380   368.534   368.931
 1999.50   368.158   368.976   369.373   369.818   370.322   369.373   369.818
 2000.00   368.856   369.769   370.212   370.707   371.268   370.212   370.707
 2000.50   369.546   370.558   371.050   371.598   372.220   371.050   371.598
 2001.00   370.227   371.344   371.888   372.491   373.177   371.888   372.491
 2001.50   370.899   372.127   372.724   373.386   374.138   372.724   373.386
 2002.00   371.563   372.906   373.560   374.284   375.105   373.560   374.284
 2002.50   372.218   373.682   374.396   375.183   376.077   374.396   375.183
 2003.00   372.864   374.455   375.231   376.084   377.054   375.231   376.084
 2003.50   373.502   375.224   376.065   376.987   378.035   376.065   376.987
 2004.00   374.131   375.990   376.898   377.892   379.022   376.898   377.892
 2004.50   374.751   376.752   377.731   378.799   380.014   377.731   378.799
 2005.00   375.363   377.511   378.563   379.708   381.010   378.563   379.708
 2005.50   375.966   378.267   379.395   380.618   382.012   379.395   380.618
 2006.00   376.560   379.019   380.225   381.531   383.018   380.225   381.531
 2006.50   377.145   379.767   381.055   382.445   384.029   381.055   382.445
 2007.00   377.721   380.512   381.885   383.362   385.045   381.885   383.362
 2007.50   378.289   381.254   382.713   384.280   386.066   382.713   384.280
 2008.00   378.847   381.992   383.541   385.200   387.092   383.541   385.200
